t_us,frame_id,sensor_id,accX,accY,accZ,acc_sum_YZ,magX,magY,magZ
1091253928,872224,0,1.00390625,-0.03515625,0.005859375,-0.029296875,0.0,0.0,0.0
1091255180,872225,0,1.005859375,-0.0390625,0.017578125,-0.021484375,0.0,0.0,0.0
1091256432,872226,0,0.998046875,-0.0390625,0.015625,-0.0234375,0.0,0.0,0.0
1091257682,872227,0,1.01953125,-0.03515625,0.013671875,-0.021484375,0.0,0.0,0.0
1091258933,872228,0,1.001953125,-0.0390625,0.015625,-0.0234375,0.0,0.0,0.0
1091260183,872229,0,0.99609375,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1091261433,872230,0,0.998046875,-0.04296875,0.017578125,-0.025390625,0.0,0.0,0.0
1091262684,872231,0,1.001953125,-0.03515625,0.021484375,-0.013671875,0.0,0.0,0.0
1091263936,872232,0,1.0,-0.03125,0.017578125,-0.013671875,0.0,0.0,0.0
1091265187,872233,0,1.00390625,-0.033203125,0.015625,-0.017578125,0.0,0.0,0.0
1091266439,872234,0,1.0078125,-0.037109375,0.01953125,-0.017578125,0.0,0.0,0.0
1091267690,872235,0,1.001953125,-0.0390625,0.017578125,-0.021484375,0.0,0.0,0.0
1091268940,872236,0,1.00390625,-0.033203125,0.015625,-0.017578125,0.0,0.0,0.0
1091270192,872237,0,1.005859375,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1091271443,872238,0,1.0,-0.041015625,0.013671875,-0.02734375,0.0,0.0,0.0
1091272694,872239,0,1.00390625,-0.037109375,0.01953125,-0.017578125,0.0,0.0,0.0
1091273944,872240,0,1.0078125,-0.03515625,0.013671875,-0.021484375,0.0,0.0,0.0
1091275194,872241,0,1.001953125,-0.037109375,0.013671875,-0.0234375,0.0,0.0,0.0
1091276445,872242,0,1.001953125,-0.037109375,0.017578125,-0.01953125,0.0,0.0,0.0
1091277697,872243,0,1.005859375,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1091278947,872244,0,1.00390625,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1091280199,872245,0,1.0,-0.0390625,0.015625,-0.0234375,0.0,0.0,0.0
1091281449,872246,0,1.00390625,-0.0390625,0.017578125,-0.021484375,0.0,0.0,0.0
1091282701,872247,0,1.005859375,-0.0390625,0.015625,-0.0234375,0.0,0.0,0.0
1091283951,872248,0,0.99609375,-0.03515625,0.01953125,-0.015625,0.0,0.0,0.0
1091285202,872249,0,1.005859375,-0.0390625,0.021484375,-0.017578125,0.0,0.0,0.0
1091286454,872250,0,1.0078125,-0.03125,0.015625,-0.015625,0.0,0.0,0.0
1091287704,872251,0,1.0078125,-0.0390625,0.0078125,-0.03125,0.0,0.0,0.0
1091288955,872252,0,1.005859375,-0.041015625,0.013671875,-0.02734375,0.0,0.0,0.0
1091290206,872253,0,1.00390625,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1091291457,872254,0,1.001953125,-0.037109375,0.013671875,-0.0234375,0.0,0.0,0.0
1091292708,872255,0,1.005859375,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1091293959,872256,0,1.00390625,-0.033203125,0.013671875,-0.01953125,0.0,0.0,0.0
1091295211,872257,0,1.005859375,-0.033203125,0.009765625,-0.0234375,0.0,0.0,0.0
1091296463,872258,0,1.00390625,-0.037109375,0.015625,-0.021484375,0.0,0.0,0.0
1091297713,872259,0,1.00390625,-0.037109375,0.013671875,-0.0234375,0.0,0.0,0.0
1091298965,872260,0,1.0078125,-0.033203125,0.015625,-0.017578125,0.0,0.0,0.0
1091300215,872261,0,1.005859375,-0.03515625,0.015625,-0.01953125,0.0,0.0,0.0
1091301466,872262,0,1.00390625,-0.037109375,0.013671875,-0.0234375,0.0,0.0,0.0
1091302716,872263,0,0.998046875,-0.037109375,0.013671875,-0.0234375,0.0,0.0,0.0
