joint,datei,sensor_id,J_kgm2,omega_d_rad_s,omega_n_rad_s,f_d_Hz,f_n_Hz,zeta,delta,k_Nm_rad,d_Nms_rad,n_peaks,ist_ausreisser
data_joint_11,spirob_messung_20260702_140540.csv,0,0.001,313.8454,314.0716,49.9500,49.9860,0.037945,0.238587,98.64097267,0.02383485,6,False
data_joint_11,spirob_messung_20260702_140545.csv,0,0.001,313.9395,317.1426,49.9650,50.4748,0.141766,0.899828,100.57941007,0.08991987,9,False
data_joint_11,spirob_messung_20260702_140551.csv,0,0.001,313.9238,318.6624,49.9625,50.7167,0.171812,1.095821,101.54572809,0.10949999,7,False
data_joint_11,spirob_messung_20260702_140557.csv,0,0.001,313.9081,316.2481,49.9600,50.3325,0.121424,0.768615,100.01288334,0.07680010,8,False
data_joint_11,spirob_messung_20260702_140601.csv,0,0.001,264.3771,266.3666,42.0769,42.3936,0.121993,0.772274,70.95115151,0.06498983,9,True
data_joint_11,spirob_messung_20260702_140606.csv,0,0.001,313.8925,318.5884,49.9575,50.7049,0.171063,1.090903,101.49859795,0.10899768,7,False
data_joint_11,spirob_messung_20260702_140611.csv,0,0.001,295.4568,298.0710,47.0234,47.4395,0.132150,0.837667,88.84631856,0.07877995,7,False
data_joint_11,spirob_messung_20260702_140616.csv,0,0.001,313.9081,316.3556,49.9600,50.3496,0.124149,0.786130,100.08085180,0.07855017,9,False
data_joint_11,spirob_messung_20260702_140623.csv,0,0.001,313.9081,318.9779,49.9600,50.7669,0.177581,1.133794,101.74690719,0.11328879,7,False
data_joint_11,spirob_messung_20260702_140627.csv,0,0.001,313.9081,317.1507,49.9600,50.4761,0.142632,0.905438,100.58458993,0.09047144,7,False
data_joint_11,spirob_messung_20260702_140631.csv,0,0.001,313.9081,318.1594,49.9600,50.6366,0.162928,1.037573,101.22541233,0.10367435,7,False
data_joint_11,spirob_messung_20260702_140635.csv,0,0.001,313.9709,317.7486,49.9700,50.5713,0.153742,0.977611,100.96416012,0.09770250,6,False
data_joint_11,spirob_messung_20260702_140640.csv,0,0.001,313.9709,323.2247,49.9700,51.4428,0.237570,1.536694,104.47420479,0.15357721,5,False
